=== economy-table122.xlsx ===
Cell A1 | value='Case Number' | fill=FFFFFF00 | rows=[0, 1] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell O20 | value='45' | fill=00000000 | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell S20 | value='A7' | fill=00000000 | rows=[19] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T20 | value='GKL-462' | fill=00000000 | rows=[19] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U20 | value='2' | fill=00000000 | rows=[19] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V20 | value='3' | fill=00000000 | rows=[19] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell E21 | value='A8' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='CLK-130' | fill=00000000 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='8' | fill=00000000 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='1' | fill=00000000 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell L21 | value='A8' | fill=00000000 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='DSG-130' | fill=00000000 | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='8' | fill=00000000 | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='1' | fill=00000000 | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell S21 | value='A8' | fill=00000000 | rows=[20] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T21 | value='GKL-463' | fill=00000000 | rows=[20] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U21 | value='8' | fill=00000000 | rows=[20] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V21 | value='2' | fill=00000000 | rows=[20] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell E22 | value='A9' | fill=00000000 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='CLK-131' | fill=00000000 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='9' | fill=00000000 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='3' | fill=00000000 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell L22 | value='A9' | fill=00000000 | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='DSG-131' | fill=00000000 | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N22 | value='6' | fill=00000000 | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O22 | value='4' | fill=00000000 | rows=[21] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell S22 | value='A9' | fill=00000000 | rows=[21] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T22 | value='GKL-464' | fill=00000000 | rows=[21] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U22 | value='6' | fill=00000000 | rows=[21] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V22 | value='2' | fill=00000000 | rows=[21] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell E23 | value='A10' | fill=00000000 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='CLK-132' | fill=00000000 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='10' | fill=00000000 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='2' | fill=00000000 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell L23 | value='A10' | fill=00000000 | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='DSG-132' | fill=00000000 | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='9' | fill=00000000 | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='5' | fill=00000000 | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell S23 | value='A10' | fill=00000000 | rows=[22] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T23 | value='GKL-465' | fill=00000000 | rows=[22] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U23 | value='9' | fill=00000000 | rows=[22] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V23 | value='5' | fill=00000000 | rows=[22] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell E24 | value='A11' | fill=00000000 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='CLK-133' | fill=00000000 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='11' | fill=00000000 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='2' | fill=00000000 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell L24 | value='A11' | fill=00000000 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M24 | value='DSG-133' | fill=00000000 | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N24 | value='2' | fill=00000000 | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O24 | value='7' | fill=00000000 | rows=[23] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell S24 | value='A11' | fill=00000000 | rows=[23] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T24 | value='GKL-466' | fill=00000000 | rows=[23] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U24 | value='2' | fill=00000000 | rows=[23] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V24 | value='3' | fill=00000000 | rows=[23] | cols=[21] | col_header=False | row_header=False | metadata=False

